year,Team,GP,W,L,T,OTL,SOL,Pts,GF,GA,PIM,Att.,Coach,Playoff Results
1995,Pittsburgh Penguins,82,49,29,4,0,0,102,362,284,1623,"16,238",Ed Johnston,Lost in round 3
1995,Boston Bruins,82,40,31,11,0,0,91,282,269,1039,"17,474",Steve Kasper,Lost in round 1
1995,Montreal Canadiens,82,40,32,10,0,0,90,265,248,1847,"18,233","Demers, Laperriere, Tremblay {+}",Lost in round 1
1995,Hartford Whalers,82,34,39,9,0,0,77,237,259,1844,"11,983","Holmgren, Maurice {+}",Out of Playoffs
1995,Buffalo Sabres,82,33,42,7,0,0,73,247,262,2195,"13,738",Ted Nolan,Out of Playoffs
1995,Ottawa Senators,82,18,59,5,0,0,41,191,291,1553,"13,252","Bowness, Allison, Martin {+}",Out of Playoffs
1995,Colorado Avalanche,82,47,25,10,0,0,104,326,240,1536,"16,017",Marc Crawford,Won Championship
1995,Vancouver Canucks,82,32,35,15,0,0,79,278,278,1546,"17,796","Ley, Quinn {+}",Lost in round 1
1995,Calgary Flames,82,34,37,11,0,0,79,241,240,1524,"17,999",Pierre Page,Lost in round 1
1995,Anaheim Mighty Ducks,82,35,39,8,0,0,78,234,247,1707,"17,154",Ron Wilson,Out of Playoffs
1995,Edmonton Oilers,82,30,44,8,0,0,68,240,304,1709,"12,335",Ron Low,Out of Playoffs
1995,Los Angeles Kings,82,24,40,18,0,0,66,256,302,1460,"13,551",Larry Robinson,Out of Playoffs
1995,San Jose Sharks,82,20,55,7,0,0,47,252,357,1480,"17,190","Constantine, Wiley {+}",Out of Playoffs
1996,New Jersey Devils,82,45,23,14,0,0,104,231,182,1135,"16,398",Jacques Lemaire,Lost in round 2
1996,Philadelphia Flyers,82,45,24,13,0,0,103,274,217,1699,"19,311",Terry Murray,Lost in Finals
1996,Florida Panthers,82,35,28,19,0,0,89,221,201,1628,"14,703",Doug MacLean,Lost in round 1
1996,New York Rangers,82,38,34,10,0,0,86,258,231,1481,"18,188",Colin Campbell,Lost in round 3
1996,Washington Capitals,82,33,40,9,0,0,75,214,231,1652,"15,761",Jim Schoenfeld,Out of Playoffs
1996,Tampa Bay Lightning,82,32,40,10,0,0,74,217,247,1686,"17,442",Terry Crisp,Out of Playoffs
1996,New York Islanders,82,29,41,12,0,0,70,240,250,1640,"12,494","Milbury, Bowness {+}",Out of Playoffs
1996,Dallas Stars,82,48,26,8,0,0,104,252,198,1325,"15,997",Ken Hitchcock,Lost in round 1
1996,Detroit Red Wings,82,38,26,18,0,0,94,253,197,1582,"19,978","William ""Scotty"" Bowman",Won Championship
1996,St. Louis Blues,82,36,35,11,0,0,83,236,239,1336,"16,806","Keenan, Roberts, Quenneville {+}",Lost in round 1
1996,Phoenix Coyotes,82,38,37,7,0,0,83,240,243,1582,"15,585",Don Hay,Lost in round 1
1996,Chicago Blackhawks,82,34,35,13,0,0,81,223,210,1763,"19,396",Craig Hartsburg,Lost in round 1
1996,Toronto Maple Leafs,82,30,44,8,0,0,68,230,273,1331,"15,703",Mike Murphy,Out of Playoffs
1996,Buffalo Sabres,82,40,30,12,0,0,92,237,208,1840,"16,911",Ted Nolan,Lost in round 2
1996,Pittsburgh Penguins,82,38,36,8,0,0,84,285,280,1498,"16,691","Johnston, Patrick {+}",Lost in round 1
1996,Montreal Canadiens,82,31,36,15,0,0,77,249,276,1469,"21,001",Mario Tremblay,Lost in round 1
1996,Ottawa Senators,82,31,36,15,0,0,77,226,234,1087,"15,377",Jacques Martin,Lost in round 1
1996,Hartford Whalers,82,32,39,11,0,0,75,226,256,1513,"13,680",Paul Maurice,Out of Playoffs
1996,Boston Bruins,82,26,47,9,0,0,61,234,300,1369,"15,550",Steve Kasper,Out of Playoffs
1996,Colorado Avalanche,82,49,24,9,0,0,107,277,205,1361,"16,061",Marc Crawford,Lost in round 3
1996,Anaheim Mighty Ducks,82,36,33,13,0,0,85,245,233,1710,"16,972",Ron Wilson,Lost in round 2
1996,Edmonton Oilers,82,36,37,9,0,0,81,252,247,1368,"16,052",Ron Low,Lost in round 2
1996,Vancouver Canucks,82,35,40,7,0,0,77,257,273,1607,"17,320",Tom Renney,Out of Playoffs
1996,Calgary Flames,82,32,41,9,0,0,73,214,239,1444,"17,088",Pierre Page,Out of Playoffs
1996,Los Angeles Kings,82,28,43,11,0,0,67,214,268,1638,"12,297",Larry Robinson,Out of Playoffs
1996,San Jose Sharks,82,27,47,8,0,0,62,211,278,2085,"17,420",Al Sims,Out of Playoffs
1997,New Jersey Devils,82,48,23,11,0,0,107,225,166,1488,"17,296",Jacques Lemaire,Lost in round 1
1997,Philadelphia Flyers,82,42,29,11,0,0,95,242,193,1766,"19,518","Cashman, Neilson {+}",Lost in round 1
1997,Washington Capitals,82,40,30,12,0,0,92,219,202,1198,"15,275",Ron Wilson,Lost in Finals
1997,New York Islanders,82,30,41,11,0,0,71,212,225,1646,"12,253","Bowness, Milbury {+}",Out of Playoffs
1997,New York Rangers,82,25,39,18,0,0,68,197,231,1548,"18,189","Campbell, Muckler {+}",Out of Playoffs
1997,Florida Panthers,82,24,43,15,0,0,63,203,256,1676,"14,703","MacLean, Murray {+}",Out of Playoffs
1997,Tampa Bay Lightning,82,17,55,10,0,0,44,151,269,1823,"13,866","Crisp, Paterson, Demers {+}",Out of Playoffs
1997,Dallas Stars,82,49,22,11,0,0,109,242,167,1301,"16,489",Ken Hitchcock,Lost in round 3
1997,Detroit Red Wings,82,44,23,15,0,0,103,250,196,1346,"19,983","William ""Scotty"" Bowman",Won Championship
1997,St. Louis Blues,82,45,29,8,0,0,98,256,204,1414,"18,414",Joel Quenneville,Lost in round 2
1997,Phoenix Coyotes,82,35,35,12,0,0,82,224,227,1602,"15,404",Jim Schoenfeld,Lost in round 1
1997,Chicago Blackhawks,82,30,39,13,0,0,73,192,199,1546,"18,350",Craig Hartsburg,Out of Playoffs
1997,Toronto Maple Leafs,82,30,43,9,0,0,69,194,237,1481,"15,707",Mike Murphy,Out of Playoffs
1997,Pittsburgh Penguins,82,40,24,18,0,0,98,228,188,1225,"15,070",Kevin Constantine,Lost in round 1
1997,Boston Bruins,82,39,30,13,0,0,91,221,194,1117,"15,097",Pat Burns,Lost in round 1
1997,Buffalo Sabres,82,36,29,17,0,0,89,211,187,1768,"15,634",Lindy Ruff,Lost in round 3
1997,Montreal Canadiens,82,37,32,13,0,0,87,235,208,1547,"20,771",Alain Vigneault,Lost in round 2
1997,Ottawa Senators,82,34,33,15,0,0,83,193,200,1091,"16,750",Jacques Martin,Lost in round 2
1997,Carolina Hurricanes,82,33,41,8,0,0,74,200,219,1455,"9,106",Paul Maurice,Out of Playoffs
1997,Colorado Avalanche,82,39,26,17,0,0,95,231,205,1729,"16,061",Marc Crawford,Lost in round 1
1997,Los Angeles Kings,82,38,33,11,0,0,87,227,225,1763,"13,019",Larry Robinson,Lost in round 1
1997,Edmonton Oilers,82,35,37,10,0,0,80,215,224,1690,"16,244",Ron Low,Lost in round 2
1997,San Jose Sharks,82,34,38,10,0,0,78,210,216,1417,"17,111",Darryl Sutter,Lost in round 1
1997,Calgary Flames,82,26,41,15,0,0,67,217,252,1859,"16,864",Brian Sutter,Out of Playoffs
1997,Anaheim Mighty Ducks,82,26,43,13,0,0,65,205,261,1843,"16,908",Pierre Page,Out of Playoffs
1997,Vancouver Canucks,82,25,43,14,0,0,64,224,273,2166,"16,957","Renney, Keenan {+}",Out of Playoffs
1998,New Jersey Devils,82,47,24,11,0,0,105,248,196,1355,"16,670",Robbie Ftorek,Lost in round 1
1998,Philadelphia Flyers,82,37,26,19,0,0,93,231,196,1075,"19,612",Roger Neilson,Lost in round 1
1998,Pittsburgh Penguins,82,38,30,14,0,0,90,242,225,977,"14,824",Kevin Constantine,Lost in round 2
1998,New York Rangers,82,33,38,11,0,0,77,217,227,1087,"18,200",John Muckler,Out of Playoffs
1998,New York Islanders,82,24,48,10,0,0,58,194,244,1111,"11,299","Milbury, Stewart {+}",Out of Playoffs
1998,Detroit Red Wings,82,43,32,7,0,0,93,245,202,1202,"19,983","William ""Scotty"" Bowman",Lost in round 2
1998,St. Louis Blues,82,37,32,13,0,0,87,237,209,1308,"18,276",Joel Quenneville,Lost in round 2
1998,Chicago Blackhawks,82,29,41,12,0,0,70,202,248,1807,"17,329","Graham, Molleken {+}",Out of Playoffs
1998,Nashville Predators,82,28,47,7,0,0,63,190,261,1420,"16,194",Barry Trotz,Out of Playoffs
1998,Ottawa Senators,82,44,23,15,0,0,103,239,179,892,"17,219",Jacques Martin,Lost in round 1
1998,Toronto Maple Leafs,82,45,30,7,0,0,97,268,231,1095,"16,765",Pat Quinn,Lost in round 3
1998,Boston Bruins,82,39,30,13,0,0,91,214,181,1182,"16,299",Pat Burns,Lost in round 2
1998,Buffalo Sabres,82,37,28,17,0,0,91,207,175,1561,"17,982",Lindy Ruff,Lost in Finals
1998,Montreal Canadiens,82,32,39,11,0,0,75,184,209,1299,"20,740",Alain Vigneault,Out of Playoffs
1998,Colorado Avalanche,82,44,28,10,0,0,98,239,205,1619,"16,059",Bob Hartley,Lost in round 3
1998,Edmonton Oilers,82,33,37,12,0,0,78,230,226,1373,"16,244",Ron Low,Lost in round 1
1998,Calgary Flames,82,30,40,12,0,0,72,211,234,1389,"16,010",Brian Sutter,Out of Playoffs
1998,Vancouver Canucks,82,23,47,12,0,0,58,192,258,1764,"15,802","Keenan, Crawford {+}",Out of Playoffs
1998,Dallas Stars,82,51,19,12,0,0,114,236,168,1108,"16,907",Ken Hitchcock,Won Championship
1998,Phoenix Coyotes,82,39,31,12,0,0,90,205,197,1412,"15,547",Jim Schoenfeld,Lost in round 1
1998,Anaheim Mighty Ducks,82,35,34,13,0,0,83,215,206,1323,"15,804",Craig Hartsburg,Lost in round 1
1998,San Jose Sharks,82,31,33,18,0,0,80,196,191,1423,"16,903",Darryl Sutter,Lost in round 1
1998,Los Angeles Kings,82,32,45,5,0,0,69,189,222,1383,"12,795",Larry Robinson,Out of Playoffs
1998,Carolina Hurricanes,82,34,30,18,0,0,86,210,202,1158,"8,187",Paul Maurice,Lost in round 1
1998,Florida Panthers,82,30,34,18,0,0,78,210,228,1522,"18,493",Terry Murray,Out of Playoffs
1998,Washington Capitals,82,31,45,6,0,0,68,200,218,1381,"17,281",Ron Wilson,Out of Playoffs
1998,Tampa Bay Lightning,82,19,54,9,0,0,47,179,292,1316,"11,510",Jacques Demers,Out of Playoffs
1999,Philadelphia Flyers,82,45,22,12,3,0,105,237,179,1233,"19,634",Roger Neilson,Lost in round 3
1999,New Jersey Devils,82,45,24,8,5,0,103,251,203,1313,"15,206","Ftorek, Robinson {+}",Won Championship
1999,Pittsburgh Penguins,82,37,31,8,6,0,88,241,236,1221,"15,443","Constantine, Brooks {+}",Lost in round 2
1999,New York Rangers,82,29,38,12,3,0,73,218,246,916,"18,200","Muckler, Tortorella {+}",Out of Playoffs
1999,New York Islanders,82,24,48,9,1,0,58,194,275,1376,"9,748","Robert ""Butch"" Goring",Out of Playoffs
1999,St. Louis Blues,82,51,19,11,1,0,114,248,165,1139,"18,590",Joel Quenneville,Lost in round 1
1999,Detroit Red Wings,82,48,22,10,2,0,108,278,210,1014,"19,983","William ""Scotty"" Bowman",Lost in round 2
1999,Chicago Blackhawks,82,33,37,10,2,0,78,242,245,1444,"16,274","Molleken, Pulford {+}",Out of Playoffs
1999,Nashville Predators,82,28,40,7,7,0,70,199,240,946,"16,599",Barry Trotz,Out of Playoffs
1999,Toronto Maple Leafs,82,45,27,7,3,0,100,246,222,1103,"19,158",Pat Quinn,Lost in round 2
1999,Ottawa Senators,82,41,28,11,2,0,95,244,210,850,"17,508",Jacques Martin,Lost in round 1
1999,Buffalo Sabres,82,35,32,11,4,0,85,213,204,1173,"17,955",Lindy Ruff,Lost in round 1
1999,Montreal Canadiens,82,35,34,9,4,0,83,196,194,1067,"20,205",Alain Vigneault,Out of Playoffs
1999,Boston Bruins,82,24,33,19,6,0,73,210,248,865,"16,322",Pat Burns,Out of Playoffs
1999,Colorado Avalanche,82,42,28,11,1,0,96,233,201,1118,"17,889",Bob Hartley,Lost in round 3
1999,Edmonton Oilers,82,32,26,16,8,0,88,226,212,1344,"15,800",Kevin Lowe,Lost in round 1
1999,Vancouver Canucks,82,30,29,15,8,0,83,227,237,1047,"14,641",Marc Crawford,Out of Playoffs
1999,Calgary Flames,82,31,36,10,5,0,77,211,256,1267,"15,320",Brian Sutter,Out of Playoffs
1999,Dallas Stars,82,43,23,10,6,0,102,211,184,1029,"17,001",Ken Hitchcock,Lost in Finals
1999,Los Angeles Kings,82,39,27,12,4,0,94,245,228,1313,"16,518",Andy Murray,Lost in round 1
1999,Phoenix Coyotes,82,39,31,8,4,0,90,232,228,940,"14,991",Bob Francis,Lost in round 1
1999,San Jose Sharks,82,35,30,10,7,0,87,225,214,1292,"17,290",Darryl Sutter,Lost in round 2
1999,Anaheim Mighty Ducks,82,34,33,12,3,0,83,217,227,926,"14,460",Craig Hartsburg,Out of Playoffs
1999,Washington Capitals,82,44,24,12,2,0,102,227,194,994,"14,485",Ron Wilson,Lost in round 1
1999,Florida Panthers,82,43,27,6,6,0,98,244,209,1329,"15,981",Terry Murray,Lost in round 1
1999,Carolina Hurricanes,82,37,35,10,0,0,84,217,216,799,"12,400",Paul Maurice,Out of Playoffs
1999,Tampa Bay Lightning,82,19,47,9,7,0,54,204,310,1733,"13,600",Steve Ludzik,Out of Playoffs
1999,Atlanta Thrashers,82,14,57,7,4,0,39,170,313,1422,"17,206",Curt Fraser,Out of Playoffs
2000,New Jersey Devils,82,48,19,12,3,0,111,295,195,1235,"15,642",Larry Robinson,Lost in Finals
2000,Philadelphia Flyers,82,43,25,11,3,0,100,240,207,1183,"19,575","Ramsay, Barber {+}",Lost in round 1
2000,Pittsburgh Penguins,82,42,28,9,3,0,96,281,256,1585,"16,277",Ivan Hlinka,Lost in round 3
2000,New York Rangers,82,33,43,5,1,0,72,250,290,1522,"18,200",Ron Low,Out of Playoffs
2000,New York Islanders,82,21,51,7,3,0,52,185,268,1339,"11,332","Goring, Henning {+}",Out of Playoffs
2000,Detroit Red Wings,82,49,20,9,4,0,111,253,202,1082,"19,995","William ""Scotty"" Bowman",Lost in round 1
2000,St. Louis Blues,82,43,22,12,5,0,103,249,195,1345,"19,519",Joel Quenneville,Lost in round 3
2000,Nashville Predators,82,34,36,9,3,0,80,186,200,944,"15,767",Barry Trotz,Out of Playoffs
2000,Chicago Blackhawks,82,29,40,8,5,0,71,210,246,1001,"14,996",Alpo Suhonen,Out of Playoffs
2000,Columbus Blue Jackets,82,28,39,9,6,0,71,190,233,1234,"17,457",Dave King,Out of Playoffs
2000,Ottawa Senators,82,48,21,9,4,0,109,274,205,1062,"17,793",Jacques Martin,Lost in round 1
2000,Buffalo Sabres,82,46,30,5,1,0,98,218,184,1249,"17,839",Lindy Ruff,Lost in round 2
2000,Toronto Maple Leafs,82,37,29,11,5,0,90,232,207,1430,"19,257",Pat Quinn,Lost in round 2
2000,Boston Bruins,82,36,30,8,8,0,88,227,249,1325,"15,432","Burns, Keenan {+}",Out of Playoffs
2000,Montreal Canadiens,82,28,40,8,6,0,70,206,232,1020,"20,105","Vigneault, Therrien {+}",Out of Playoffs
2000,Colorado Avalanche,82,52,16,10,4,0,118,270,192,1138,"18,007",Bob Hartley,Won Championship
2000,Edmonton Oilers,82,39,28,12,3,0,93,243,222,1287,"15,611",Craig MacTavish,Lost in round 1
